774822/name/0	King Ludwig Beerhall
2325822/location/0	North Point
2325822/location/1	Hong Kong Island
2325822/location/2	Eastern District
2325822/location/3	City Garden
2334089/name/0	AVA Restaurant Slash Bar
2334089/address/0	38/F, 8A Hart Avenue, Tsim Sha Tsui, Kowloon Tsim Sha Tsui, Kowloon
2334089/cuisine/0	International
2334089/cuisine/1	European
2334089/cuisine/2	Contemporary
2334089/dietary_restrictions/0	None
2334089/location/0	Tsim Sha Tsui
2334089/location/1	Kowloon
2334089/location/2	Yau Tsim Mong District
2344341/name/0	Saint Germain
2344341/address/0	G/F, No.1A Wong Nai Chung Road, Happy Valley
2344341/cuisine/0	French
2344341/cuisine/1	Bar
2344341/cuisine/2	European
2344341/dietary_restrictions/0	Vegetarian Friendly
2344341/location/0	Happy Valley
2344341/location/1	Hong Kong Island
2351994/name/0	Gastrobox by Okapi Cafe
2351994/address/0	GF, 67 Man Nin St, Sai Kung
2351994/cuisine/0	Steakhouse
2351994/cuisine/1	Belgian
2351994/cuisine/2	Bar
2351994/cuisine/3	International
2351994/cuisine/4	European
2351994/cuisine/5	British
2351994/cuisine/6	Pub
2351994/cuisine/7	Diner
2351994/dietary_restrictions/0	None
2351994/location/0	New Territories
2351994/location/1	Sai Kung
2356917/name/0	208 Duecento Otto
2356917/address/0	208 Hollywood Road
2356917/cuisine/0	Italian
2356917/cuisine/1	Pizza
2356917/cuisine/2	European
2356917/dietary_restrictions/0	Vegetarian Friendly
2356917/location/0	Sheung Wan
2356917/location/1	Central District
2356917/location/2	Hong Kong Island
2363148/name/0	Grand Cafe
2363148/address/0	Lobby Floor, Grand Hyatt Hong Kong 1 Harbour Road, Wan Chai
2363148/cuisine/0	International
2363148/dietary_restrictions/0	Vegetarian Friendly
2363148/dietary_restrictions/1	Vegan Options
2363148/dietary_restrictions/2	Gluten Free Options
2363148/location/0	Wan Chai / Causeway Bay
2363148/location/1	Hong Kong Island
2363148/location/2	Southorn Playground
2364438/name/0	Flint
2364438/address/0	Level 5, JW Marriott Hotel Hong Kong, Pacific Place, 88 Queensway
2364438/cuisine/0	Contemporary
2364438/dietary_restrictions/0	Gluten Free Options
2364438/location/0	Hong Kong Island
2364438/location/1	Tai Fat Hau
2364439/name/0	Man Ho Chinese Restaurant
2364439/address/0	Pacific Place, 88 Queensway Level 3 of JW Marriott Hotel Hong Kong
2364439/cuisine/0	Chinese
2364439/dietary_restrictions/0	Vegetarian Friendly
2364439/dietary_restrictions/1	Vegan Options
2364439/dietary_restrictions/2	Gluten Free Options
2364439/location/0	Hong Kong Island
2364439/location/1	Tai Fat Hau
2374630/name/0	Mak's Noodle
2374630/address/0	Shop 1, G/F, The Peak Galleria, 118 Peak Road, The Peak
2374630/cuisine/0	Chinese
2374630/cuisine/1	Asian
2374630/cuisine/2	Soups
2374630/dietary_restrictions/0	None
2374630/location/0	Peak
2374630/location/1	Central District
2374630/location/2	Hong Kong Island
2375123/name/0	Wooloomooloo Steakhouse
2375123/address/0	G7/8 Tsim Sha Tsui Centre, 66 Mody Road, Kowloon
2375123/cuisine/0	Steakhouse
2375123/cuisine/1	European
2375123/cuisine/2	Australian
2375123/dietary_restrictions/0	Vegetarian Friendly
2375123/dietary_restrictions/1	Gluten Free Options
2375123/location/0	Tsim Sha Tsui
2375123/location/1	Kowloon
2375123/location/2	Yau Tsim Mong District
2386430/name/0	Subway
2386430/address/0	68 Mody Road, No.G34,G47B & G48 Empire Centre
2386430/cuisine/0	American
2386430/cuisine/1	Fast Food
2386430/cuisine/2	Deli
2386430/dietary_restrictions/0	Vegetarian Friendly
2386430/dietary_restrictions/1	Vegan Options
2386430/location/0	Tsim Sha Tsui
2386430/location/1	Kowloon
2386430/location/2	Yau Tsim Mong District
2387389/name/0	Budaoweng Hot Pot Cuisine
2387389/address/0	23/F, iSquare, No.63 Nathon Road, Tsim Sha Tsui
2387389/cuisine/0	Chinese
2387389/cuisine/1	Seafood
2387389/cuisine/2	Asian
2387389/dietary_restrictions/0	None
2387389/location/0	Tsim Sha Tsui
2387389/location/1	Kowloon
2387389/location/2	Yau Tsim Mong District
2387390/name/0	King Ludwig
2387390/address/0	Shop a & C, G/F Greenfield Mansion, 8 Kingston Street, Causeway Bay
2387390/cuisine/0	German
2387390/cuisine/1	European
2387390/cuisine/2	Central European
2387390/dietary_restrictions/0	None
2387390/location/0	Sheung Wan
2387390/location/1	Central District
2387390/location/2	Hong Kong Island
2388303/name/0	The Big Bite
2388303/address/0	Shop 4B G/F Kar Fu Building, 196 - 202 Java Road, North Point
2388303/cuisine/0	American
2388303/cuisine/1	Bar
2388303/cuisine/2	Fast Food
2388303/cuisine/3	Canadian
2388303/dietary_restrictions/0	None
2388303/location/0	Eastern District
2388303/location/1	Hong Kong Island
2388303/location/2	Healthy Village
2390123/name/0	Above and Beyond
2390123/address/0	Level 28, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui East
2390123/cuisine/0	Chinese
2390123/cuisine/1	Asian
2390123/dietary_restrictions/0	Vegetarian Friendly
2390123/dietary_restrictions/1	Vegan Options
2390123/dietary_restrictions/2	Gluten Free Options
2390123/location/0	Tsim Sha Tsui
2390123/location/1	Kowloon
2390123/location/2	Yau Tsim Mong District
2391435/name/0	La Cucina Italiana
2391435/address/0	21/F-22/F, QRE Plaza, 202 Queen's Road East, Wan Chai
2391435/cuisine/0	Italian
2391435/cuisine/1	Pizza
2391435/cuisine/2	European
2391435/dietary_restrictions/0	Vegetarian Friendly
2391435/location/0	Hong Kong Island
2391435/location/1	Southorn Playground
2392121/name/0	Greyhound Cafe
2392121/address/0	IFC Mall Shop 1082 Shop 1082, Podium Level 1, ifc mall
2392121/cuisine/0	Asian
2392121/cuisine/1	Thai
2392121/cuisine/2	Contemporary
2392121/dietary_restrictions/0	Vegetarian Friendly
2392121/dietary_restrictions/1	Vegan Options
2392121/location/0	Central
2392121/location/1	Central District
2392121/location/2	Hong Kong Island
2399859/name/0	Enoteca Quarry Bay
2399859/address/0	35-41 Tong Chong St, Quarry Bay
2399859/cuisine/0	Bar
2399859/cuisine/1	Pizza
2399859/cuisine/2	Mediterranean
2399859/cuisine/3	European
2399859/cuisine/4	Spanish
2399859/cuisine/5	Pub
2399859/dietary_restrictions/0	Vegetarian Friendly
2399859/location/0	Eastern District
2399859/location/1	Hong Kong Island
2399859/location/2	Quarry Bay
2399860/name/0	Enoteca Elgin Street
2399860/address/0	G/F, 47 Elgin Street, SOHO, Central
2399860/cuisine/0	Wine Bar
2399860/cuisine/1	Mediterranean
2399860/dietary_restrictions/0	Vegetarian Friendly
2399860/dietary_restrictions/1	Gluten Free Options
2399860/location/0	Central District
2399860/location/1	Hong Kong Island
2399904/name/0	Tin Lung Heen
2399904/address/0	1 Austin Road West 102/F, The Ritz-Carlton, International Commerce Centre
2399904/cuisine/0	Chinese
2399904/cuisine/1	Asian
2399904/dietary_restrictions/0	Vegetarian Friendly
2399904/dietary_restrictions/1	Vegan Options
2399904/dietary_restrictions/2	Gluten Free Options
2399904/location/0	Kowloon
2399904/location/1	Yau Tsim Mong District
2403145/name/0	Casa Lisboa Portuguese Restaurant & Bar
2403145/address/0	63 Wyndham Street, 2/F, Parekh House, Central
2403145/cuisine/0	Seafood
2403145/cuisine/1	Mediterranean
2403145/cuisine/2	European
2403145/cuisine/3	Portuguese
2403145/dietary_restrictions/0	Gluten Free Options
2403145/location/0	Central
2403145/location/1	Central District
2403145/location/2	Hong Kong Island
2403161/name/0	Staunton's Wine Bar-Cafe
2403161/address/0	G/F, No.10-12 Staunton Street, Soho, Central
2403161/cuisine/0	Bar
2403161/cuisine/1	European
2403161/cuisine/2	Pub
2403161/cuisine/3	Wine Bar
2403161/dietary_restrictions/0	Vegetarian Friendly
2403161/dietary_restrictions/1	Vegan Options
2403161/location/0	Central
2403161/location/1	Central District
2403161/location/2	Hong Kong Island
2415511/name/0	Open Kitchen
2415511/address/0	Shop 1081, 1/F, IFC II, 1 Harbour View Street, Central
2415511/cuisine/0	Cafe
2415511/cuisine/1	European
2415511/dietary_restrictions/0	Vegetarian Friendly
2415511/dietary_restrictions/1	Vegan Options
2415511/location/0	Central
2415511/location/1	Central District
2415511/location/2	Hong Kong Island
2415513/name/0	GREEN
2415513/address/0	Lobby, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui East Hotel ICON
2415513/cuisine/0	European
2415513/cuisine/1	Contemporary
2415513/cuisine/2	Fusion
2415513/dietary_restrictions/0	Vegetarian Friendly
2415513/dietary_restrictions/1	Vegan Options
2415513/dietary_restrictions/2	Gluten Free Options
2415513/location/0	Tsim Sha Tsui
2415513/location/1	Kowloon
2415513/location/2	Yau Tsim Mong District
2422144/name/0	Tim Ho Wan
2422144/address/0	Shop 12A, Hong Kong Station Podium Level 1, IFC Mall , Central
2422144/cuisine/0	Chinese
2422144/cuisine/1	Asian
2422144/dietary_restrictions/0	None
2422144/location/0	Central
2422144/location/1	Central District
2422144/location/2	Hong Kong Island
2423153/name/0	Cuisine Cuisine at the Mira Hong Kong
2423153/address/0	118 Nathan Road Tsimshatsui
2423153/cuisine/0	Chinese
2423153/cuisine/1	Asian
2423153/dietary_restrictions/0	Vegetarian Friendly
2423153/dietary_restrictions/1	Vegan Options
2423153/dietary_restrictions/2	Gluten Free Options
2423153/location/0	Tsim Sha Tsui
2423153/location/1	Kowloon
2423153/location/2	Yau Tsim Mong District
2423554/name/0	8 1/2 Otto e Mezzo Bombana
2423554/address/0	202 Alexandra, 18 House Chater Rd.Central
2423554/cuisine/0	Italian
2423554/cuisine/1	European
2423554/dietary_restrictions/0	Vegetarian Friendly
2423554/dietary_restrictions/1	Vegan Options
2423554/dietary_restrictions/2	Gluten Free Options
2423554/location/0	Central
2423554/location/1	Central District
2423554/location/2	Hong Kong Island
2428744/name/0	Shang Palace
2428744/address/0	G/F, Kowloon Shangri-La Hotel, 64 Mody Road, Tsim Sha Tsui No. 64 Mody Road, Tsimshatsui East, Kowloon
2428744/cuisine/0	Chinese
2428744/cuisine/1	Asian
2428744/dietary_restrictions/0	Vegetarian Friendly
2428744/dietary_restrictions/1	Vegan Options
2428744/dietary_restrictions/2	Gluten Free Options
2428744/location/0	Tsim Sha Tsui
2428744/location/1	Kowloon
2428744/location/2	Yau Tsim Mong District
2433061/name/0	Fatt's Place
2433061/address/0	No 2 Hart Avenue Tsim Sha Tsui
2433061/cuisine/0	Bar
2433061/cuisine/1	Pub
2433061/dietary_restrictions/0	None
2433061/location/0	Tsim Sha Tsui
2433061/location/1	Kowloon
2433061/location/2	Yau Tsim Mong District
2433070/name/0	Tango Argentinian Steak House
2433070/address/0	1st Floor, Carfield Building, 77 Wyndham Street,Central
2433070/cuisine/0	Steakhouse
2433070/cuisine/1	Latin
2433070/cuisine/2	Argentinean
2433070/dietary_restrictions/0	Gluten Free Options
2433070/location/0	Central
2433070/location/1	Central District
2433070/location/2	Hong Kong Island
2437900/name/0	DimDimSum Dim Sum Specialty Store
2437900/address/0	26-28 Man Wui St, Jordan, Kowloon Austin Station Exit A
2437900/cuisine/0	Chinese
2437900/cuisine/1	Asian
2437900/dietary_restrictions/0	Vegetarian Friendly
2437900/location/0	Jordan / Yau Ma Tei
2437900/location/1	Kowloon
2437900/location/2	Austin
2437900/location/3	Yau Tsim Mong District
2437906/name/0	22o North
2437906/address/0	DB Plaza, Shop GO8B, Block A, DB Plaza, Discovery Bay
2437906/cuisine/0	European
2437906/cuisine/1	Belgian
2437906/dietary_restrictions/0	None
2437906/location/0	New Territories
2437906/location/1	Islands District
2437906/location/2	Discovery Bay
2437907/name/0	Istanbul Kebab
2437907/address/0	Ground Floor, 34A Lock Road, Tsim Sha Tsui, Kowloon
2437907/cuisine/0	Fast Food
2437907/cuisine/1	Turkish
2437907/cuisine/2	Mediterranean
2437907/cuisine/3	Middle Eastern
2437907/dietary_restrictions/0	Halal
2437907/location/0	Tsim Sha Tsui
2437907/location/1	Kowloon
2437907/location/2	Yau Tsim Mong District
2461243/name/0	The Chairman
2461243/address/0	No.18 Kau U Fong, Central
2461243/cuisine/0	Chinese
2461243/cuisine/1	Asian
2461243/dietary_restrictions/0	Vegetarian Friendly
2461243/location/0	Sheung Wan
2461243/location/1	Central District
2461243/location/2	Hong Kong Island
2461245/name/0	Plaza Mayor
2461245/address/0	9, Moon Street, Wan Chai, Hong Kong 4, Sun Street
2461245/cuisine/0	Mediterranean
2461245/cuisine/1	European
2461245/cuisine/2	Spanish
2461245/dietary_restrictions/0	None
2461245/location/0	Hong Kong Island
2461245/location/1	Tai Fat Hau
2461269/name/0	Koh Thai
2461269/address/0	1st Floor, J-Residence, 60 Johnston Road
2461269/cuisine/0	Asian
2461269/cuisine/1	Thai
2461269/dietary_restrictions/0	Vegetarian Friendly
2461269/dietary_restrictions/1	Vegan Options
2461269/dietary_restrictions/2	Gluten Free Options
2461269/location/0	Wan Chai / Causeway Bay
2461269/location/1	Hong Kong Island
2461269/location/2	Tai Fat Hau
2461272/name/0	Le Cafe
2461272/address/0	1/F, Novotel Century Hong Kong, 238 Jaffe Road, Wanchai
2461272/cuisine/0	European
2461272/cuisine/1	International
2461272/dietary_restrictions/0	Vegetarian Friendly
2461272/location/0	Wan Chai / Causeway Bay
2461272/location/1	Hong Kong Island
2461272/location/2	Hennessy Road
2461273/name/0	Pho Yummee
2461273/address/0	19-21 Level 1, The Peak Galleria, 118 Peak Road
2461273/cuisine/0	Asian
2461273/cuisine/1	Vietnamese
2461273/dietary_restrictions/0	Vegetarian Friendly
2461273/location/0	Peak
2461273/location/1	Central District
2461273/location/2	Hong Kong Island
2461283/name/0	M Bar - Mandarin Oriental, Hong Kong
2461283/address/0	5 Connaught Road Central Central
2461283/cuisine/0	Bar
2461283/dietary_restrictions/0	None
2461283/location/0	Central
2461283/location/1	Central District
2461283/location/2	Hong Kong Island
2461284/name/0	Captain's Bar - Mandarin Oriental, Hong Kong
2461284/address/0	5 Connaught Road Central Central
2461284/cuisine/0	Bar
2461284/dietary_restrictions/0	None
2461284/location/0	Central
2461284/location/1	Central District
2461284/location/2	Hong Kong Island
2461285/name/0	The Chinnery
2461285/address/0	5 Connaught Road Central
2461285/cuisine/0	Bar
2461285/cuisine/1	British
2461285/dietary_restrictions/0	None
2461285/location/0	Central
2461285/location/1	Central District
2461285/location/2	Hong Kong Island
2464643/name/0	veggie SF
2464643/address/0	10F, 11 Stanley Street 10F, 11 Stanley Street, Hong Kong
2464643/cuisine/0	International
2464643/dietary_restrictions/0	Vegetarian Friendly
2464643/dietary_restrictions/1	Vegan Options
2464643/dietary_restrictions/2	Gluten Free Options
2464643/location/0	Central
2464643/location/1	Central District
2464643/location/2	Hong Kong Island
2469331/name/0	Nam Kee Spring Roll Noodle
2469331/address/0	Stanley Street 66-72
2469331/cuisine/0	Chinese
2469331/cuisine/1	Fast Food
2469331/cuisine/2	Asian
2469331/dietary_restrictions/0	None
2469331/location/0	Central
2469331/location/1	Central District
2469331/location/2	Hong Kong Island
2481863/name/0	Walt's Cafe
2481863/address/0	Hong Kong Disneyland Hotel
2481863/cuisine/0	American
2481863/cuisine/1	European
2481863/dietary_restrictions/0	Vegetarian Friendly
2481863/location/0	New Territories
2481863/location/1	Islands District
2481863/location/2	Discovery Bay
2484867/name/0	Bistro Manchu
2484867/address/0	33 Elgin Street
2484867/cuisine/0	Chinese
2484867/cuisine/1	Asian
2484867/dietary_restrictions/0	Vegetarian Friendly
2484867/location/0	Central
2484867/location/1	Central District
2484867/location/2	Hong Kong Island
2514100/name/0	Pizza Express Festival Walk
2514100/address/0	L2-43 Festival Walk, Kowloon Tong
2514100/cuisine/0	Italian
2514100/cuisine/1	Pizza
2514100/dietary_restrictions/0	Vegetarian Friendly
2514100/location/0	Sham Shui Po District
2514100/location/1	Kowloon
2514102/name/0	Pizza Express Wing Fung Street
2514102/address/0	G/F - 1/F, No.23 Wing Fung Street, Wan Chai
2514102/cuisine/0	Italian
2514102/cuisine/1	Pizza
2514102/dietary_restrictions/0	Vegetarian Friendly
2514102/dietary_restrictions/1	Vegan Options
2514102/location/0	Hong Kong Island
2514102/location/1	Tai Fat Hau
2514791/name/0	The Market
2514791/address/0	Level 2, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui East Tsim Sha Tsui East, Kowloon
2514791/cuisine/0	Seafood
2514791/cuisine/1	International
2514791/cuisine/2	Street Food
2514791/dietary_restrictions/0	Vegetarian Friendly
2514791/dietary_restrictions/1	Vegan Options
2514791/dietary_restrictions/2	Gluten Free Options
2514791/location/0	Tsim Sha Tsui
2514791/location/1	Kowloon
2514791/location/2	Yau Tsim Mong District
2516694/name/0	Shanghai Lane
2516694/address/0	35-37 Gough Street
2516694/cuisine/0	Chinese
2516694/cuisine/1	Asian
2516694/dietary_restrictions/0	Vegetarian Friendly
2516694/location/0	Sheung Wan
2516694/location/1	Central District
2516694/location/2	Hong Kong Island
2520764/name/0	Grand Hill Taiwanese Restaurant
2520764/address/0	1-2 F Cheung Lee Commercial Building
2520764/cuisine/0	Chinese
2520764/cuisine/1	Asian
2520764/cuisine/2	Taiwanese
2520764/dietary_restrictions/0	None
2520764/location/0	Tsim Sha Tsui
2520764/location/1	Kowloon
2520764/location/2	Yau Tsim Mong District
2525960/name/0	IKEA Restaurant & Cafe
2525960/address/0	L6, Grand Central Plaza, 138 Sha Tin Rural Committee Road
2525960/cuisine/0	Fast Food
2525960/cuisine/1	European
2525960/cuisine/2	Swedish
2525960/cuisine/3	Scandinavian
2525960/dietary_restrictions/0	Vegetarian Friendly
2525960/dietary_restrictions/1	Vegan Options
2525960/location/0	New Territories
2525960/location/1	Sha Tin
2534180/name/0	Dim Sum Square
2534180/address/0	88 Jervois Street, Sheung wan
2534180/cuisine/0	Chinese
2534180/cuisine/1	Asian
2534180/dietary_restrictions/0	Vegetarian Friendly
2534180/location/0	Sheung Wan
2534180/location/1	Central District
2534180/location/2	Hong Kong Island
2540127/name/0	The Monogamous Chinese
2540127/address/0	59 Caine Road, Soho
2540127/cuisine/0	Chinese
2540127/cuisine/1	Asian
2540127/dietary_restrictions/0	Vegetarian Friendly
2540127/dietary_restrictions/1	Vegan Options
2540127/location/0	Central
2540127/location/1	Mid Levels
2540127/location/2	Hong Kong Island
2540127/location/3	Central District
2540306/name/0	One Dim Sum Chinese Restaurant
2540306/address/0	G/F 209A-209B Tung Choi Street Prince Edward
2540306/cuisine/0	Chinese
2540306/dietary_restrictions/0	Vegetarian Friendly
2540306/location/0	Mong Kok
2540306/location/1	Kowloon
2540306/location/2	Yau Tsim Mong District
2546535/name/0	Hugo's, Hyatt Regency Hong Kong, Tsim Sha Tsui
2546535/address/0	18 Hanoi Road, Tsim Sha Tsui Kowloon
2546535/cuisine/0	European
2546535/cuisine/1	International
2546535/cuisine/2	Contemporary
2546535/dietary_restrictions/0	None
2546535/location/0	Tsim Sha Tsui
2546535/location/1	Kowloon
2546535/location/2	Yau Tsim Mong District
2550775/name/0	Gold Medal Seafood Hotpot
2550775/address/0	1st Floor, Wing Fu Mansion, 10-24 Parkes Street, Jordon, Hong Kong
2550775/cuisine/0	Chinese
2550775/dietary_restrictions/0	None
2550775/location/0	Jordan / Yau Ma Tei
2550775/location/1	Kowloon
2550775/location/2	Yau Tsim Mong District
2555962/name/0	Dimpal Fusion Restaurant and Bar
2555962/address/0	283 Temple Street, Jordan
2555962/cuisine/0	Indian
2555962/dietary_restrictions/0	Vegetarian Friendly
2555962/dietary_restrictions/1	Vegan Options
2555962/location/0	Jordan / Yau Ma Tei
2555962/location/1	Kowloon
2555962/location/2	Yau Tsim Mong District
2559905/name/0	Spiaggia
2559905/address/0	G/F, 92B Stanley Main Street, Stanley
2559905/cuisine/0	Italian
2559905/cuisine/1	Bar
2559905/cuisine/2	International
2559905/cuisine/3	Asian
2559905/dietary_restrictions/0	Vegetarian Friendly
2559905/location/0	Stanley
2559905/location/1	Hong Kong Island
2559905/location/2	Southern District
2561950/name/0	Chom Chom
2561950/address/0	58 Peel Street, SoHo
2561950/cuisine/0	Asian
2561950/cuisine/1	Vietnamese
2561950/dietary_restrictions/0	Vegetarian Friendly
2561950/dietary_restrictions/1	Vegan Options
2561950/dietary_restrictions/2	Gluten Free Options
2561950/location/0	Central
2561950/location/1	Central District
2561950/location/2	Hong Kong Island
2561955/name/0	Top Grade Hot Pot
2561955/address/0	G/F, 5-7 Tsing Fung Street, Tin Hau
2561955/cuisine/0	Chinese
2561955/cuisine/1	Asian
2561955/cuisine/2	Healthy
2561955/dietary_restrictions/0	None
2561955/location/0	North Point
2561955/location/1	Hong Kong Island
2561955/location/2	Eastern District
2561955/location/3	Fortress Hill
2587494/name/0	Sahara
2587494/address/0	G/F, No.11 Elgin Street, Soho, Central
2587494/cuisine/0	Moroccan
2587494/cuisine/1	Mediterranean
2587494/cuisine/2	Middle Eastern
2587494/dietary_restrictions/0	Vegetarian Friendly
2587494/dietary_restrictions/1	Halal
2587494/dietary_restrictions/2	Vegan Options
2587494/location/0	Central
2587494/location/1	Central District
2587494/location/2	Hong Kong Island
2590210/name/0	Hee Kee Crab General
2590210/address/0	Shop 602, isquare, 63 Nathan Road, Tsim Sha Tsui
2590210/cuisine/0	Chinese
2590210/cuisine/1	Seafood
2590210/cuisine/2	Asian
2590210/dietary_restrictions/0	None
2590210/location/0	Tsim Sha Tsui
2590210/location/1	Kowloon
2590210/location/2	Yau Tsim Mong District
2616969/name/0	Na Thai
2616969/address/0	8 Min Fat Street Happy Valley
2616969/cuisine/0	Asian
2616969/cuisine/1	Thai
2616969/dietary_restrictions/0	Vegetarian Friendly
2616969/dietary_restrictions/1	Vegan Options
2616969/location/0	Happy Valley
2616969/location/1	Hong Kong Island
2620833/name/0	Hing Kee Claypot Rice Restaurant
2620833/address/0	G/F, 15-19 Temple Street, Yau Ma Tei, Hong Kong
2620833/cuisine/0	Chinese
2620833/cuisine/1	Asian
2620833/dietary_restrictions/0	None
2620833/location/0	Jordan / Yau Ma Tei
2620833/location/1	Kowloon
2620833/location/2	Yau Tsim Mong District
2620837/name/0	The Kitchen
2620837/address/0	18A Mui Wo Ferry Pier Road, Shop 1, G/F, Scenic Crest, Mui Wo, Lantau Island
2620837/cuisine/0	Italian
2620837/cuisine/1	Pizza
2620837/cuisine/2	European
2620837/cuisine/3	Mediterranean
2620837/dietary_restrictions/0	Vegetarian Friendly
2620837/dietary_restrictions/1	Vegan Options
2620837/location/0	Lantau Island
2620837/location/1	New Territories
2620837/location/2	Islands District
2620844/name/0	Shanghai Garden
2620844/address/0	Shop 402, 4/F, Exchange Square, 8 Connaught Road, Central
2620844/cuisine/0	Chinese
2620844/cuisine/1	Asian
2620844/dietary_restrictions/0	None
2620844/location/0	Central
2620844/location/1	Central District
2620844/location/2	Hong Kong Island
2620854/name/0	Chuen Kee Seafood Restaurant
2620854/address/0	87-89 Man Nin Street, Sai Kung
2620854/cuisine/0	Seafood
2620854/cuisine/1	Chinese
2620854/cuisine/2	Asian
2620854/dietary_restrictions/0	None
2620854/location/0	New Territories
2620854/location/1	Sai Kung
2627508/name/0	Nanhai No. 1
2627508/address/0	Level 30, iSquare, 63 Nathan Road, Tsimshatsui, Kowloon
2627508/cuisine/0	Chinese
2627508/cuisine/1	Seafood
2627508/cuisine/2	Asian
2627508/dietary_restrictions/0	Vegetarian Friendly
2627508/dietary_restrictions/1	Vegan Options
2627508/location/0	Tsim Sha Tsui
2627508/location/1	Kowloon
2627508/location/2	Yau Tsim Mong District
2629281/name/0	Twenty Six by Liberty
2629281/address/0	26/F, No.11 Stanley Street, Central
2629281/cuisine/0	Contemporary
2629281/cuisine/1	European
2629281/cuisine/2	International
2629281/dietary_restrictions/0	None
2629281/location/0	Central
2629281/location/1	Central District
2629281/location/2	Hong Kong Island
2629289/name/0	Outback Steakhouse
2629289/address/0	Shop 3 A, Ground Floor Site 4, Whampoa Garden, Hung Hom Site 4, Whampoa, Kowloon
2629289/cuisine/0	Steakhouse
2629289/cuisine/1	Australian
2629289/dietary_restrictions/0	None
2629289/location/0	Kowloon City District
2629289/location/1	Kowloon
2629289/location/2	Whampoa
2651029/name/0	F.A.B
2651029/address/0	30 Hollywood Road
2651029/cuisine/0	French
2651029/cuisine/1	American
2651029/cuisine/2	Bar
2651029/cuisine/3	European
2651029/dietary_restrictions/0	None
2651029/location/0	Central
2651029/location/1	Central District
2651029/location/2	Hong Kong Island
2655651/name/0	Koh-i-Noor Indian Restaurant
2655651/address/0	16C Mody Road 1/F, Unit 3-4, Peninsula Apartments
2655651/cuisine/0	Indian
2655651/cuisine/1	Asian
2655651/cuisine/2	Barbecue
2655651/cuisine/3	Grill
2655651/cuisine/4	Healthy
2655651/dietary_restrictions/0	Vegetarian Friendly
2655651/dietary_restrictions/1	Vegan Options
2655651/location/0	Tsim Sha Tsui
2655651/location/1	Kowloon
2655651/location/2	Yau Tsim Mong District
2687485/name/0	Camden Town Fish and Chips
2687485/address/0	49 Hoi Pong Street
2687485/cuisine/0	Seafood
2687485/cuisine/1	British
2687485/dietary_restrictions/0	None
2687485/location/0	New Territories
2687485/location/1	Sai Kung
2701626/name/0	Osteria Ristorante Italiano at Holiday Inn Golden Mile
2701626/address/0	M floor, Holiday Inn Golden Mile, 50 Nathan Road, Tsim Sha Tsui
2701626/cuisine/0	Italian
2701626/cuisine/1	Pizza
2701626/cuisine/2	European
2701626/dietary_restrictions/0	Vegetarian Friendly
2701626/dietary_restrictions/1	Gluten Free Options
2701626/location/0	Tsim Sha Tsui
2701626/location/1	Kowloon
2701626/location/2	Yau Tsim Mong District
2706744/name/0	Din Tai Fung
2706744/address/0	No.68 Yee Wo Street, Causeway Bay
2706744/cuisine/0	Chinese
2706744/cuisine/1	Asian
2706744/cuisine/2	Taiwanese
2706744/dietary_restrictions/0	Vegetarian Friendly
2706744/dietary_restrictions/1	Vegan Options
2706744/dietary_restrictions/2	Gluten Free Options
2706744/location/0	Wan Chai / Causeway Bay
2706744/location/1	Hong Kong Island
2719190/name/0	Sang Kee Congee Shop
2719190/address/0	Ground Floor, 7 - 9 Butt Street, Sheung Wan
2719190/cuisine/0	Chinese
2719190/cuisine/1	Asian
2719190/dietary_restrictions/0	Vegetarian Friendly
2719190/location/0	Sheung Wan
2719190/location/1	Central District
2719190/location/2	Hong Kong Island
3134988/name/0	Happy Veggies
3134988/address/0	1/F Bayfield Building , 99 Hennessey Road Wan Chai
3134988/cuisine/0	Chinese
3134988/cuisine/1	Asian
3134988/cuisine/2	Healthy
3134988/dietary_restrictions/0	Vegetarian Friendly
3134988/dietary_restrictions/1	Vegan Options
3134988/dietary_restrictions/2	Gluten Free Options
3134988/location/0	Wan Chai / Causeway Bay
3134988/location/1	Hong Kong Island
3134988/location/2	Southorn Playground
3138193/name/0	Hainan Shaoye
3138193/address/0	3-27 Canton Road, Tsim Sha Tsui, Kowloon Shop G16, G/F, Ocean Terminal, Harbour City
3138193/cuisine/0	Asian
3138193/cuisine/1	Singaporean
3138193/cuisine/2	Malaysian
3138193/dietary_restrictions/0	None
3138193/location/0	Tsim Sha Tsui
3138193/location/1	Kowloon
3138193/location/2	Yau Tsim Mong District
3156860/name/0	Chrisly Cafe
3156860/address/0	6 Heard Street, Wan Chai Shop B1, G/F, Kwong Sang Hong Building
3156860/cuisine/0	Chinese
3156860/cuisine/1	Cafe
3156860/cuisine/2	Asian
3156860/dietary_restrictions/0	None
3156860/location/0	Wan Chai / Causeway Bay
3156860/location/1	Hong Kong Island
3163990/name/0	Sun Hing
3163990/address/0	Shop C, G/F, 8 Smithfield Road, Kennedy Town, Western District
3163990/cuisine/0	Chinese
3163990/cuisine/1	Asian
3163990/dietary_restrictions/0	None
3163990/location/0	Kennedy Town & Mount Davis
3163990/location/1	Western (Sai Wan)
3163990/location/2	Hong Kong Island
3163990/location/3	Western District
